City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
237,vanimo,-2.6741,141.3028,76.84,90,100,4.45,PG,1675711000
238,filadelfia,39.9523,-75.1638,50.25,54,75,26.46,US,1675711001
239,padang,-0.9492,100.3543,76.6,75,100,4.41,ID,1675711001
240,henties bay,-22.116,14.2845,64.9,86,97,5.77,NA,1675711002
241,glebychevo,60.4387,28.7183,13.55,98,73,5.08,RU,1675711002
242,tinskoy,56.1525,96.9161,-8.14,100,54,2.35,RU,1675711003
243,lakes entrance,-37.8811,147.981,55.35,91,22,6.78,AU,1675711003
244,pestravka,52.405,49.9583,-0.67,100,88,4.68,RU,1675711004
245,mirabad,30.4362,61.8383,58.15,27,3,6.67,AF,1675711004
246,flinders,-34.5833,150.8552,71.19,88,100,1.99,AU,1675711005
247,manggar,-2.8833,108.2667,78.35,87,84,7.78,ID,1675711006
248,tromso,69.6496,18.957,41.38,87,75,28.77,NO,1675711006
249,fort nelson,58.8053,-122.7002,9.95,73,40,4.0,CA,1675711007
250,sajanan,37.0573,9.2426,50.92,90,18,0.83,TN,1675711008
251,puyo,-1.4667,-77.9833,70.84,88,75,3.44,EC,1675711008
252,chiang klang,19.2938,100.8617,70.05,57,12,1.12,TH,1675711009
253,weyburn,49.6668,-103.8511,30.42,80,92,29.93,CA,1675710940
254,aksay,47.26,39.87,23.25,78,100,15.01,RU,1675711010
255,torres,-29.3353,-49.7269,79.83,60,100,6.89,BR,1675711013
256,puerto cabello,10.4731,-68.0125,94.55,86,93,12.12,VE,1675711013
257,grindavik,63.8424,-22.4338,33.75,64,75,31.07,IS,1675711014
258,emba,48.8264,58.1442,3.18,93,75,5.88,KZ,1675711014
259,havelock,34.8791,-76.9013,61.0,45,0,17.27,US,1675711015
260,sakakah,29.9697,40.2064,56.77,36,0,11.95,SA,1675710751
261,mahebourg,-20.4081,57.7,80.26,83,40,6.91,MU,1675711015
262,ondjiva,-17.0667,15.7333,75.49,47,90,2.48,AO,1675711016
263,petropavlovsk-kamchatskiy,53.0452,158.6483,5.59,72,75,8.95,RU,1675711016
264,boa vista,2.8197,-60.6733,78.78,78,100,6.91,BR,1675711017
265,puerto maldonado,-12.6,-69.1833,86.4,74,75,2.3,PE,1675711017
266,geraldton,-28.7667,114.6,66.61,82,75,8.05,AU,1675710719
267,kahului,20.8947,-156.47,75.85,81,40,11.5,US,1675710569
268,tura,25.5198,90.2201,58.89,42,0,2.71,IN,1675711019
269,tamandare,-8.7597,-35.1047,81.34,67,100,10.13,BR,1675711019
270,airai,-8.9266,125.4092,60.33,93,99,1.41,TL,1675711020
271,chapais,49.7834,-74.8492,7.86,76,15,3.27,CA,1675710629
272,pathein,16.7833,94.7333,69.1,63,82,7.05,MM,1675711021
273,oranjestad,12.524,-70.027,85.95,66,20,19.57,AW,1675711021
274,mogadishu,2.0371,45.3438,77.14,85,15,18.57,SO,1675710813
275,monchegorsk,67.9397,32.8739,21.29,87,100,9.06,RU,1675711022
276,lompoc,34.6391,-120.4579,64.02,52,0,11.01,US,1675710720
277,havre-saint-pierre,50.2334,-63.5986,14.0,61,100,5.75,CA,1675711024
278,muroto,33.2833,134.15,49.95,73,100,11.14,JP,1675711026
279,el doncello,1.6782,-75.2847,90.09,40,100,5.39,CO,1675711027
280,pangnirtung,66.1451,-65.7125,-31.0,68,20,2.3,CA,1675711029
281,praia da vitoria,38.7333,-27.0667,57.45,88,75,27.29,PT,1675711030
282,acajutla,13.5928,-89.8275,87.67,41,0,8.5,SV,1675711032
283,povenets,62.8487,34.8262,5.02,100,100,1.83,RU,1675711034
284,port macquarie,-31.4333,152.9167,66.88,89,29,3.36,AU,1675710818
285,kruisfontein,-34.0033,24.7314,72.88,92,48,3.47,ZA,1675711042
286,kantemirovka,49.7089,39.8592,12.49,96,87,10.47,RU,1675711043
287,iqaluit,63.7506,-68.5145,-24.07,62,40,10.36,CA,1675711043
288,vauvert,43.7,4.2833,44.37,65,0,10.36,FR,1675711044
289,mount gambier,-37.8333,140.7667,53.53,94,18,4.56,AU,1675711045
290,port-gentil,-0.7193,8.7815,82.36,83,20,5.75,GA,1675711046
291,yellowknife,62.456,-114.3525,-5.6,97,100,3.76,CA,1675710654
292,lavrentiya,65.5833,-171.0,-19.25,90,40,4.94,RU,1675711047
293,sangar,63.9242,127.4739,-52.49,100,77,0.56,RU,1675711048
294,port hardy,50.6996,-127.4199,44.76,95,100,19.48,CA,1675710936
295,vernon,50.2581,-119.2691,46.29,81,83,5.75,CA,1675711049
296,pula,44.8683,13.8481,35.58,44,0,9.22,HR,1675711050
297,agadir,30.4202,-9.5982,61.25,54,4,9.86,MA,1675711050
298,nabire,-3.3667,135.4833,75.2,90,100,4.38,ID,1675711051
299,shitanjing,39.2342,106.3439,26.37,37,0,0.98,CN,1675711051
300,hirado,33.3597,129.5531,43.39,91,100,14.99,JP,1675711052
